"Tm","Year","Week","Loc","Tm.Score","Total_Yards.Tot","Total_Yards.Ply","Total_Yards.Y.P","Total_Yards.TO","Pass_Stats.Cmp","Pass_Stats.Att","Pass_Stats.Cmp.","Pass_Stats.Yds","Pass_Stats.TD","Pass_Stats.Int","Pass_Stats.Sk","Pass_Stats.SkYds","Pass_Stats.Rate","Rush_Stats.Yds","Rush_Stats.Y.A","Rush_Stats.TD","Rush_Stats.Att","Penalties.Pen","Penalties.Yds","Opp.Total_Yards.Tot","Opp.Total_Yards.Ply","Opp.Total_Yards.Y.P","Opp.Total_Yards.TO","Opp.Pass_Stats.Cmp","Opp.Pass_Stats.Att","Opp.Pass_Stats.Cmp.","Opp.Pass_Stats.Yds","Opp.Pass_Stats.TD","Opp.Pass_Stats.Int","Opp.Pass_Stats.Sk","Opp.Pass_Stats.SkYds","Opp.Pass_Stats.Rate","Opp.Rush_Stats.Yds","Opp.Rush_Stats.Y.A","Opp.Rush_Stats.TD","Opp.Rush_Stats.Att","Opp.Penalties.Pen","Opp.Penalties.Yds"
"MIA",2019,1,1,10,200,47,4.2553,4,15,32,46.9,179,1,2,3,11,50.3,21,1.75,0,11,9,64,643,73,8.8082,0,23,26,88.5,378,6,0,1,1,158.3,265,5.76,2,16.884236453202,4,40
"HOU",2020,6,0,36,412,67,6.1493,0,28,38,73.7,320,4,0,2,15,135.3,92,3.41,1,33,4,46,607,70,8.6714,3,30,41,73.2,344,4,1,2,22,122.6,263,9.74,2,33,7,73
"ATL",2019,5,0,32,373,68,5.4853,2,32,46,69.6,316,3,1,2,14,102.6,57,2.85,1,7,7,63,592,67,8.8358,2,28,33,84.8,426,5,0,0,0,158.3,166,4.88,1,25,9,89
"DET",2020,16,1,7,186,50,3.72,3,21,31,67.7,113,0,1,4,39,65.5,73,4.87,0,14,11,117,588,70,8.4,0,31,42,73.8,477,6,0,2,14,151.9,111,4.27,1,34,8,65
"MIN",2020,16,0,33,364,60,6.0667,0,27,41,65.9,274,3,0,2,17,110.9,90,5.29,2,10,3,20,583,73,7.9863,3,21,28,75,319,0,2,0,0,82.3,264,5.87,7,16.884236453202,4,38
"PHI",2018,14,0,23,256,48,5.3333,2,22,32,68.8,222,3,0,2,6,120.3,34,2.43,0,13,5,49,576,93,6.1935,4,42,54,77.8,434,3,2,3,21,104.9,142,3.94,0,21,11,110
"CIN",2018,8,1,37,402,63,6.381,0,21,34,61.8,264,2,0,2,16,107.5,138,5.11,2,33,4,46,576,83,6.9398,5,29,50,58,450,3,4,6,20,76.2,126,4.67,1,33,11,75
"ARI",2020,7,1,37,519,81,6.4074,3,34,48,70.8,360,3,1,0,0,104.5,159,4.82,1,28,6,40,572,82,6.9756,4,33,50,66,372,3,3,2,16,84.4,200,6.67,1,29,8,78
"CAR",2021,6,1,28,306,68,4.5,4,17,41,41.5,188,1,1,4,19,55.6,118,5.13,1,3,6,28,571,84,6.7976,2,33,48,68.8,373,3,0,0,0,112.6,198,5.5,1,21,11,98
"CIN",2019,2,1,17,316,65,4.8615,2,26,42,61.9,291,2,1,4,20,90.5,25,1.32,0,6,7,60,571,68,8.3971,2,18,26,69.2,312,3,1,0,0,132.2,259,6.17,2,16.884236453202,9,75
"ATL",2020,2,0,39,380,72,5.2778,0,24,37,64.9,267,4,0,1,6,122.9,113,3.32,0,25,8,51,570,81,7.037,4,34,49,69.4,445,1,0,1,5,105,125,4.03,4,30,7,75
"NWE",2021,6,1,29,335,50,6.7,3,15,21,71.4,215,2,1,2,14,118.9,120,4.44,2,33,5,47,567,82,6.9146,3,36,51,70.6,445,3,1,0,0,108.7,122,3.94,0,30,12,119
"CLE",2020,4,0,49,508,73,6.9589,0,20,31,64.5,201,3,0,2,1,115.3,307,7.68,3,16.884236453202,5,40,566,79,7.1646,4,41,58,70.7,481,4,1,3,21,112.9,85,4.72,1,8,6,65
"CLE",2018,4,0,42,487,74,6.5811,5,21,41,51.2,279,2,2,2,16,70.7,208,6.71,3,30,8,55,565,90,6.2778,3,35,58,60.3,426,4,2,3,11,92.4,139,4.79,0,31,6,65
"GNB",2019,5,0,34,335,65,5.1538,0,22,34,64.7,215,0,0,2,23,85.2,120,4.14,4,31,9,78,563,68,8.2794,4,27,44,61.4,441,2,3,3,22,83.8,122,5.81,1,5,11,124
"MIA",2021,5,0,17,301,51,5.902,3,27,39,69.2,262,2,1,3,13,95.6,39,4.33,0,20,5,37,558,71,7.8592,0,33,44,75,437,5,0,2,15,145.3,121,4.84,1,2,6,47
"MIN",2018,4,0,31,446,71,6.2817,2,36,50,72,392,3,0,4,30,117.2,54,3.18,0,10,4,35,556,55,10.1091,0,26,34,76.5,456,5,0,1,9,157.5,100,5,0,7,2,15
"WAS",2019,16,1,35,361,67,5.3881,0,29,38,76.3,281,3,0,3,21,125.1,80,3.08,2,34,6,51,552,69,8,0,28,42,66.7,346,5,0,1,6,132.1,206,7.92,1,34,4,33
"OAK",2019,14,1,21,355,60,5.9167,2,25,34,73.5,258,2,0,2,4,115.1,97,4.04,1,1,3,20,552,59,9.3559,2,21,27,77.8,391,3,1,0,0,140.4,161,5.03,2,27,4,21
"CIN",2018,7,0,10,239,54,4.4259,2,19,33,57.6,174,1,1,2,13,71.1,65,3.42,0,6,8,58,551,70,7.8714,2,28,39,71.8,353,4,1,2,5,123.7,198,6.83,1,31,8,49
"ARI",2019,13,1,7,198,61,3.2459,2,19,34,55.9,124,0,1,6,39,56.4,74,3.52,1,5,2,7,549,76,7.2237,0,33,45,73.3,417,2,0,1,10,117.5,132,4.4,1,29,8,81
"LAR",2018,11,1,54,455,75,6.0667,3,31,49,63.3,379,4,0,5,34,117.1,76,3.62,1,5,8,60,546,69,7.913,6,33,46,71.7,448,6,3,3,30,117.6,98,4.9,0,7,13,135
"PHI",2018,11,0,7,196,48,4.0833,4,19,33,57.6,138,0,3,3,18,31.9,58,4.83,1,11,6,49,546,69,7.913,0,23,32,71.9,373,4,0,0,0,150.1,173,4.68,2,22,8,69
"CAR",2020,10,1,23,187,47,3.9787,2,20,28,71.4,122,2,1,3,26,92.6,65,4.06,1,9,5,40,544,77,7.0649,2,28,39,71.8,334,3,0,1,7,124,210,5.68,2,22,3,30
"TAM",2020,12,1,24,417,55,7.5818,3,27,41,65.9,342,3,2,1,3,96.1,75,5.77,0,12,8,57,543,72,7.5417,2,37,50,74,456,3,0,2,6,122.2,87,4.35,0,7,10,82
"IND",2019,14,0,35,309,59,5.2373,2,19,36,52.8,243,2,0,1,8,93.6,66,3,1,4,3,35,542,78,6.9487,5,35,49,71.4,467,4,3,1,7,103.6,75,2.68,1,32,6,104
"CHI",2018,6,0,28,467,64,7.2969,4,22,31,71,303,3,1,2,13,122.5,164,5.29,1,30,6,58,541,75,7.2133,4,28,44,63.6,380,3,2,0,0,94.9,161,5.19,0,30,7,67
"KAN",2018,1,0,38,362,55,6.5818,0,15,27,55.6,256,4,0,1,0,127.5,106,3.93,0,33,6,50,541,74,7.3108,3,34,51,66.7,418,3,1,1,6,103.7,123,5.59,0,4,7,45
"HOU",2020,16,1,31,488,51,9.5686,2,24,33,72.7,322,3,0,1,2,133.9,166,9.76,1,10,6,46,540,71,7.6056,0,29,38,76.3,371,2,0,0,0,123.9,169,5.12,2,28,5,35
"NYJ",2018,16,1,38,370,57,6.4912,0,24,35,68.6,323,3,0,2,18,128.4,47,2.35,1,7,16,172,540,79,6.8354,2,37,55,67.3,413,2,0,4,29,103.7,127,6.35,3,7,10,86
"DEN",2020,15,1,19,255,63,4.0476,2,20,32,62.5,115,1,0,3,17,81.8,140,5,2,32,7,33,534,65,8.2154,2,28,40,70,352,2,0,1,7,114.5,182,7.58,3,1,8,75
"ATL",2018,3,1,37,407,60,6.7833,0,26,35,74.3,359,5,0,3,15,148.1,48,2.18,0,4,5,54,534,77,6.9351,0,39,49,79.6,391,3,0,1,5,120.7,143,5.3,2,33,11,120
"SEA",2021,2,1,30,397,52,7.6346,0,22,31,71,320,2,0,3,23,128.8,77,4.28,2,8,10,100,532,83,6.4096,2,27,40,67.5,320,0,0,3,27,94.5,212,5.3,3,16.884236453202,5,45
"LAC",2021,5,1,47,493,68,7.25,2,26,43,60.5,381,4,0,2,17,122,112,4.87,3,3,6,49,531,68,7.8088,0,23,32,71.9,301,2,0,1,4,122.5,230,6.57,3,26,7,77
"BAL",2019,4,1,25,395,67,5.8955,4,24,34,70.6,222,3,2,4,25,96.1,173,5.97,0,31,3,15,530,61,8.6885,2,20,31,64.5,337,1,1,1,5,99.1,193,6.66,4,31,6,41
"TEN",2019,10,1,35,371,49,7.5714,2,13,19,68.4,146,2,0,4,35,133.9,225,8.65,2,34,8,64,530,78,6.7949,2,36,51,70.6,433,3,0,2,13,117,97,3.88,0,2,9,80
"NOR",2018,1,1,40,475,59,8.0508,3,37,45,82.2,432,3,0,1,7,129.5,43,3.31,2,12,8,77,529,62,8.5323,0,21,28,75,417,4,0,0,0,156.2,112,3.29,1,25,7,70
"DEN",2018,12,1,24,308,53,5.8113,0,15,28,53.6,184,2,0,2,13,99.9,124,5.39,1,3,6,50,527,76,6.9342,5,42,58,72.4,452,2,2,2,12,92.9,75,4.69,0,9,5,34
"PHI",2020,15,0,26,422,79,5.3418,0,24,44,54.5,305,3,0,6,33,102.3,117,4.03,1,31,9,69,526,68,7.7353,4,28,37,75.7,423,3,1,1,9,129.6,103,3.43,1,29,9,83
"CIN",2020,17,1,3,195,40,4.875,3,6,21,28.6,48,0,2,0,0,0,147,7.74,0,6,3,29,525,73,7.1918,2,11,19,57.9,121,3,1,0,0,94.5,404,7.48,2,16.884236453202,6,49
"JAX",2019,14,1,10,252,63,4,0,25,38,65.8,164,1,0,2,7,84.4,88,3.83,0,3,10,101,525,58,9.0517,0,19,27,70.4,330,4,0,1,10,152.4,195,6.5,2,29,6,65
"MIA",2020,2,1,28,410,72,5.6944,0,31,47,66,311,2,0,3,17,100.3,99,4.5,1,4,3,20,523,59,8.8644,2,24,35,68.6,411,4,0,1,4,146.7,112,4.87,0,3,6,55
"IND",2021,5,0,25,513,63,8.1429,2,25,35,71.4,390,2,0,2,12,128.5,123,4.73,1,34,5,45,523,70,7.4714,2,37,43,86,437,4,0,2,5,140.5,86,3.44,0,2,8,74
"SEA",2020,3,1,38,412,70,5.8857,2,27,40,67.5,295,5,0,4,20,130.7,117,4.5,0,34,5,30,522,80,6.525,4,37,57,64.9,461,3,2,2,11,93.6,61,2.9,1,5,10,59
"MIN",2020,1,1,34,382,49,7.7959,2,19,25,76,248,2,1,2,11,118.6,134,6.09,2,4,5,20,522,76,6.8684,0,32,44,72.7,364,4,0,0,0,127.5,158,4.94,1,27,6,63
"DET",2018,5,1,31,264,57,4.6316,0,14,26,53.8,170,2,0,3,13,101.9,94,3.36,2,32,8,71,521,76,6.8553,4,32,52,61.5,423,3,0,4,19,108,98,4.9,0,7,12,112
"SFO",2018,6,0,30,401,55,7.2909,4,16,23,69.6,227,2,1,2,18,115.3,174,5.8,1,29,2,10,521,70,7.4429,0,25,46,54.3,405,2,0,3,20,100.4,116,5.52,1,5,6,54
"LAC",2018,3,0,23,356,52,6.8462,3,18,30,60,215,2,0,2,11,105.7,141,7.05,1,7,4,30,521,72,7.2361,3,29,36,80.6,350,3,1,1,4,123.8,171,4.89,1,26,6,64
"SEA",2020,7,0,34,572,82,6.9756,4,33,50,66,372,3,3,2,16,84.4,200,6.67,1,29,8,78,519,81,6.4074,3,34,48,70.8,360,3,1,0,0,104.5,159,4.82,1,28,6,40
"HOU",2018,16,0,30,371,63,5.8889,2,29,40,72.5,309,2,0,4,30,114.5,62,3.26,2,6,10,61,519,73,7.1096,4,35,50,70,462,4,1,1,9,118,57,2.59,0,4,11,105
"JAX",2019,16,0,12,288,59,4.8814,2,14,32,43.8,173,1,0,3,15,73.4,115,4.79,0,1,6,36,518,73,7.0959,3,32,45,71.1,383,1,2,1,1,85.8,135,5,2,33,9,64
"TAM",2019,4,0,55,464,73,6.3562,2,28,41,68.3,376,4,1,2,9,120.5,88,2.93,2,29,12,99,518,81,6.3951,5,45,68,66.2,490,2,3,2,27,80.3,28,2.55,2,15,13,106
"WAS",2019,17,0,16,271,59,4.5932,3,18,37,48.6,183,1,1,2,23,63.6,88,4.4,0,7,2,10,517,72,7.1806,2,23,33,69.7,294,4,0,3,9,138,223,6.19,1,21,10,81
"BAL",2020,3,1,20,228,53,4.3019,2,15,28,53.6,70,1,0,4,27,73.1,158,7.52,0,5,6,45,517,73,7.0822,2,31,42,73.8,385,4,0,0,0,133.5,132,4.26,1,30,6,38
"NOR",2019,14,1,46,465,68,6.8382,2,29,41,70.7,349,5,0,0,0,136.1,116,4.3,1,33,5,50,516,63,8.1905,2,27,36,75,354,5,1,3,30,137,162,6.75,1,1,10,67
"NYG",2021,5,0,20,367,64,5.7344,3,21,39,53.8,294,1,2,0,0,65.5,73,2.92,1,2,5,48,515,74,6.9595,3,23,33,69.7,314,3,1,2,10,118.7,201,5.15,1,16.884236453202,8,58
"CIN",2019,5,1,23,370,62,5.9677,0,27,38,71.1,262,2,0,1,0,107.6,108,4.7,0,3,7,60,514,71,7.2394,0,20,32,62.5,248,0,0,1,5,87.1,266,7,2,23,12,96
"NOR",2019,3,0,33,265,50,5.3,2,19,27,70.4,177,2,0,0,0,112.7,88,3.83,1,3,11,70,514,76,6.7632,2,32,50,64,406,2,0,0,0,102.6,108,4.15,2,34,7,53
"BAL",2021,5,1,31,523,70,7.4714,2,37,43,86,437,4,0,2,5,140.5,86,3.44,0,2,8,74,513,63,8.1429,2,25,35,71.4,390,2,0,2,12,128.5,123,4.73,1,34,5,45
"PHI",2020,16,0,17,477,71,6.7183,4,21,39,53.8,326,1,2,3,16,70.7,151,5.21,1,31,12,115,513,66,7.7727,2,22,30,73.3,362,3,1,2,15,134.7,151,4.44,1,25,5,73
"DEN",2018,5,0,16,436,72,6.0556,2,35,51,68.6,344,2,1,4,33,95,92,5.41,0,10,6,45,512,61,8.3934,3,10,22,45.5,189,3,1,1,9,98.1,323,8.5,1,23,4,33
"SEA",2019,8,0,27,322,55,5.8545,0,14,20,70,171,2,0,2,11,131.7,151,4.58,1,28,9,60,510,71,7.1831,4,39,52,75,441,1,1,2,19,99.8,69,4.06,1,10,5,40
"HOU",2019,1,0,28,414,59,7.0169,2,20,30,66.7,234,3,1,6,34,114.3,180,7.83,1,3,8,69,510,65,7.8462,2,32,43,74.4,362,2,1,1,8,105.8,148,7.05,1,5,7,48
"ARI",2019,8,0,9,237,49,4.8367,0,19,34,55.9,197,0,0,4,23,75.6,40,3.64,0,15,5,35,510,72,7.0833,2,34,43,79.1,373,3,1,0,0,116.4,137,4.72,1,31,2,15
"ATL",2018,6,1,34,417,64,6.5156,0,31,41,75.6,347,3,0,1,8,125.6,70,3.18,1,4,5,30,510,63,8.0952,3,30,41,73.2,389,4,2,2,6,115.4,121,6.05,0,7,4,20
"NYG",2018,11,1,38,359,53,6.7736,0,17,18,94.4,196,2,0,4,35,155.8,163,5.26,2,30,8,60,510,68,7.5,5,25,37,67.6,359,2,4,1,7,78,151,5.03,2,29,4,40
"DET",2019,11,1,27,312,57,5.4737,0,15,26,57.7,191,2,0,3,18,109.3,121,4.32,2,32,11,89,509,71,7.169,2,29,46,63,434,3,0,1,10,116.6,75,3.13,1,1,6,45
"CIN",2018,10,1,14,284,43,6.6047,3,14,23,60.9,174,1,2,4,24,66.9,110,6.88,1,9,4,26,509,74,6.8784,0,22,27,81.5,265,3,0,0,0,144.6,244,5.19,3,16.884236453202,1,5
"DAL",2020,4,1,38,566,79,7.1646,4,41,58,70.7,481,4,1,3,21,112.9,85,4.72,1,8,6,65,508,73,6.9589,0,20,31,64.5,201,3,0,2,1,115.3,307,7.68,3,16.884236453202,5,40
"DET",2020,17,1,35,417,54,7.7222,3,20,31,64.5,288,3,1,1,5,114,129,5.86,2,4,7,51,508,74,6.8649,0,28,40,70,383,3,0,3,22,127.6,125,4.03,2,30,4,35
"CAR",2019,5,1,34,445,61,7.2951,0,17,31,54.8,160,1,0,3,21,82.9,285,10.56,3,33,8,70,507,77,6.5844,4,26,44,59.1,358,2,0,2,16,101.9,149,4.81,1,30,9,84
"SEA",2020,1,0,38,383,58,6.6034,0,31,35,88.6,299,4,0,3,23,143.1,84,4.2,1,7,6,46,506,77,6.5714,3,37,54,68.5,434,2,1,2,16,98.5,72,3.43,1,5,6,72
"JAX",2020,4,0,25,429,63,6.8095,2,27,40,67.5,340,2,1,3,11,101.1,89,4.45,0,7,6,49,505,71,7.1127,2,25,36,69.4,300,1,1,1,0,92.4,205,6.03,2,25,7,73
"DET",2019,7,1,30,433,67,6.4627,2,30,45,66.7,352,4,1,2,12,111.7,81,4.05,0,7,8,67,504,71,7.0986,0,24,34,70.6,338,4,0,0,0,141.5,166,4.49,2,22,6,60
"NYJ",2018,4,0,12,178,51,3.4902,0,17,34,50,144,1,0,3,23,74,34,2.43,0,13,6,43,503,74,6.7973,4,29,38,76.3,377,2,1,2,11,114.8,126,3.71,1,25,9,89
"BAL",2019,3,0,28,452,78,5.7949,0,22,43,51.2,249,0,0,3,18,70.6,203,6.34,4,27,7,60,503,63,7.9841,0,27,37,73,363,3,0,1,11,132,140,5.6,1,2,4,31
"KAN",2018,5,1,30,424,69,6.1449,3,22,38,57.9,298,0,2,1,15,62.7,126,4.2,2,29,11,105,502,83,6.0482,6,33,61,54.1,401,1,4,5,29,54.7,101,5.94,1,10,5,45
"CIN",2019,16,0,35,430,85,5.0588,2,33,56,58.9,371,4,0,4,25,104.5,59,2.36,0,2,10,77,502,88,5.7045,2,31,52,59.6,406,4,1,2,13,103,96,2.82,1,25,6,47
"WAS",2018,10,0,16,286,55,5.2,0,19,27,70.4,170,1,0,3,8,100.5,116,4.64,0,2,8,52,501,67,7.4776,5,29,41,70.7,398,0,2,2,8,82,103,4.29,0,1,5,50
"KAN",2018,6,0,40,446,53,8.4151,3,23,36,63.9,352,4,2,0,0,110,94,5.53,0,10,5,58,500,75,6.6667,2,24,35,68.6,327,1,0,2,13,109.2,173,4.55,3,23,0,0
