"AwayTm","HomeTm","P.Score1","P.Score2","Actual.Score1","Actual.Score2","A1.Diff","A2.Diff","P.Winner","A.Winner","C.Winner"
"SFO","TEN",21.959939956665,16.415771484375,17,20,4.96,3.58,"SFO","TEN",0
"CLE","GNB",18.3166522979736,26.1126327514648,22,24,3.68,2.11,"GNB","GNB",1
"IND","ARI",20.7783317565918,18.6583232879639,22,16,1.22,2.66,"IND","IND",1
"NYG","PHI",18.1919574737549,21.9778518676758,10,34,8.19,12.02,"PHI","PHI",1
"BAL","CIN",19.592716217041,16.7255992889404,21,41,1.41,24.27,"BAL","CIN",0
"DET","ATL",20.7600078582764,26.7748184204102,16,20,4.76,6.77,"ATL","ATL",1
"TAM","CAR",17.9689884185791,19.9456977844238,32,6,14.03,13.95,"CAR","TAM",0
"JAX","NYJ",27.9955635070801,18.5148963928223,21,26,7,7.49,"JAX","NYJ",0
"BUF","NWE",25.680046081543,17.4889144897461,33,21,7.32,3.51,"BUF","BUF",1
"LAR","MIN",24.4722366333008,18.5243072509766,30,23,5.53,4.48,"LAR","LAR",1
"LAC","HOU",21.6418647766113,21.2796478271484,29,41,7.36,19.72,"LAC","HOU",0
"CHI","SEA",21.0923461914062,21.2288074493408,25,24,3.91,2.77,"SEA","CHI",0
"DEN","LVR",14.3173580169678,21.5475215911865,13,17,1.32,4.55,"LVR","LVR",1
"PIT","KAN",28.032772064209,24.1380729675293,10,36,18.03,11.86,"PIT","KAN",0
"WAS","DAL",22.1346702575684,28.8624610900879,14,56,8.13,27.14,"DAL","DAL",1
"MIA","NOR",20.4804954528809,20.59375,20,3,0.48,17.59,"NOR","MIA",0
