"AwayTm","HomeTm","Actual.Score1","Actual.Score2","P.Score1","P.Score2","A1.Diff","A2.Diff","P.Winner","A.Winner","C.Winner"
"NYJ","IND",23.7667942047119,28.4398670196533,30,45,6.23,16.56,"IND","IND",1
"NWE","CAR",26.6519680023193,22.0879497528076,24,6,2.65,16.09,"NWE","NWE",1
"ATL","NOR",22.7754688262939,20.9482975006104,27,25,4.22,4.05,"ATL","ATL",1
"DEN","DAL",19.4333019256592,21.021520614624,30,16,10.57,5.02,"DAL","DEN",0
"CLE","CIN",21.8019351959229,15.5472564697266,41,16,19.2,0.45,"CLE","CLE",1
"LVR","NYG",24.3183784484863,25.1870746612549,16,23,8.32,2.19,"NYG","NYG",1
"BUF","JAX",16.9101638793945,20.2514305114746,6,9,10.91,11.25,"JAX","JAX",1
"MIN","BAL",25.6260395050049,17.2738723754883,31,34,5.37,16.73,"MIN","BAL",0
"HOU","MIA",14.5443840026855,24.6646823883057,9,17,5.54,7.66,"MIA","MIA",1
"LAC","PHI",14.4722118377686,30.5666408538818,27,24,12.53,6.57,"PHI","LAC",0
"GNB","KAN",17.1138935089111,22.9877147674561,7,13,10.11,9.99,"KAN","KAN",1
"ARI","SFO",21.2859935760498,18.6656894683838,31,17,9.71,1.67,"ARI","ARI",1
"TEN","LAR",22.3665885925293,27.4121856689453,28,16,5.63,11.41,"LAR","TEN",0
"CHI","PIT",16.7695789337158,17.3551235198975,27,29,10.23,11.64,"PIT","PIT",1
