Week,Date,Tm1,Loc,Tm2
1,9/9/21,TB,1,DAL
1,9/12/21,PHI,0,ATL
1,9/12/21,LAC,0,WAS
1,9/12/21,PIT,0,BUF
1,9/12/21,CAR,1,NYJ
1,9/12/21,CIN,1,MIN
1,9/12/21,SEA,0,IND
1,9/12/21,HOU,1,JAX
1,9/12/21,ARI,0,TEN
1,9/12/21,SF,0,DET
1,9/12/21,KC,1,CLE
1,9/12/21,NO,1,GB
1,9/12/21,DEN,0,NYG
1,9/12/21,MIA,0,NE
1,9/12/21,LAR,1,CHI
1,9/13/21,LV,1,BAL
2,9/16/21,WAS,1,NYG
2,9/19/21,CHI,1,CIN
2,9/19/21,DEN,0,JAX
2,9/19/21,SF,0,PHI
2,9/19/21,BUF,0,MIA
2,9/19/21,CAR,1,NO
2,9/19/21,CLE,1,HOU
2,9/19/21,LAR,0,IND
2,9/19/21,NE,0,NYJ
2,9/19/21,LV,0,PIT
2,9/19/21,ARI,1,MIN
2,9/19/21,TB,1,ATL
2,9/19/21,DAL,0,LAC
2,9/19/21,TEN,0,SEA
2,9/19/21,BAL,1,KC
2,9/20/21,GB,1,DET
3,9/23/21,CAR,0,HOU
3,9/26/21,ATL,0,NYG
3,9/26/21,BUF,1,WAS
3,9/26/21,TEN,1,IND
3,9/26/21,CLE,1,CHI
3,9/26/21,CIN,0,PIT
3,9/26/21,ARI,0,JAX
3,9/26/21,BAL,0,DET
3,9/26/21,LAC,0,KC
3,9/26/21,NO,0,NE
3,9/26/21,LV,1,MIA
3,9/26/21,DEN,1,NYJ
3,9/26/21,MIN,1,SEA
3,9/26/21,LAR,1,TB
3,9/26/21,GB,0,SF
3,9/27/21,DAL,1,PHI
4,9/30/21,CIN,1,JAX
4,10/3/21,CHI,1,DET
4,10/3/21,CLE,0,MIN
4,10/3/21,KC,0,PHI
4,10/3/21,NYG,0,NO
4,10/3/21,NYJ,1,TEN
4,10/3/21,WAS,0,ATL
4,10/3/21,BUF,1,HOU
4,10/3/21,DAL,1,CAR
4,10/3/21,IND,0,MIA
4,10/3/21,ARI,0,LAR
4,10/3/21,SEA,0,SF
4,10/3/21,BAL,0,DEN
4,10/3/21,GB,1,PIT
4,10/3/21,TB,0,NE
4,10/4/21,LAC,1,LV
5,10/7/21,LAR,0,SEA
5,10/10/21,ATL,1,NYJ
5,10/10/21,PHI,0,CAR
5,10/10/21,MIN,1,DET
