GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,QuarterbackHitsDifferential,TacklesForLossDifferential,QuarterbackSacksDifferential,TacklesForLossPercentage,QuarterbackHitsPercentage,TimesSackedPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,OpponentQuarterbackHitsDifferential,OpponentTacklesForLossDifferential,OpponentQuarterbackSacksDifferential,OpponentTacklesForLossPercentage,OpponentQuarterbackHitsPercentage,OpponentTimesSackedPercentage,Kickoffs,KickoffsInEndZone,KickoffTouchbacks,PuntsHadBlocked,PuntNetAverage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,FieldGoalsHadBlocked,PuntReturns,PuntReturnYards,KickReturns,KickReturnYards,InterceptionReturns,InterceptionReturnYards,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentKickoffTouchbacks,OpponentPuntsHadBlocked,OpponentPuntNetAverage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,OpponentFieldGoalsHadBlocked,OpponentPuntReturns,OpponentPuntReturnYards,OpponentKickReturns,OpponentKickReturnYards,OpponentInterceptionReturns,OpponentInterceptionReturnYards,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,InterceptionReturnTouchdowns,BlockedKicks,PuntReturnTouchdowns,PuntReturnLong,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnYards,BlockedKickReturnTouchdowns,FieldGoalReturnYards,FieldGoalReturnTouchdowns,PuntNetYards,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,OpponentFumbleReturnYards,OpponentFumbleReturnTouchdowns,OpponentInterceptionReturnTouchdowns,OpponentBlockedKicks,OpponentPuntReturnTouchdowns,OpponentPuntReturnLong,OpponentKickReturnTouchdowns,OpponentKickReturnLong,OpponentBlockedKickReturnYards,OpponentBlockedKickReturnTouchdowns,OpponentFieldGoalReturnYards,OpponentFieldGoalReturnTouchdowns,OpponentPuntNetYards,IsGameOver,TeamName,DayOfWeek,PassingDropbacks,OpponentPassingDropbacks,TeamGameID,TwoPointConversionReturns,OpponentTwoPointConversionReturns,TeamID,OpponentID,Day,DateTime,GlobalGameID,GlobalTeamID,GlobalOpponentID,ScoreID
201910101,2019-09-08T16:25:00,1,2019,1,ARI,DET,HOME,43,43,54,U of Phoenix Stadium,Grass,141,123,26,73.6,7.7,0,3,3,18,3,48,59,30:37:00,34,8,26,5,131,619,12,5,37,179,12.5,0,86,46,440,5,3,13,15.2,85.9,116.2,35,14,65.4,0,0,0,10,3,0,0,29,11,56,0,0,13,53,18,13,0,13,608,76,3,5,3,0,17,0,7,3,62,37,39:23:00,37,13,27,3,128,763,15.3,8,51,185,9.2,0,72,43,577,8,0,12.8,21.4,95.9,172.3,29,15,53.2,3,0,0,8,5,0,0,-3,14,94,5,5,8,38,11,15,0,13,502,62.7,5,3,-2,40,0,10,5,-3,40,36.6,8.5,106.7,0,-6,-3,5,41.7,19,15.9,11,15,10,0,0,3,3,0,5,3,0,0,10,10,0,8,29,10,138,0,0,11,13,8,0,0,8,8,0,0,0,0,0,5,5,0,13,-3,8,77,3,0,90,30,8,38,10,5,5,0,0,0,0,0,13,0,51,0,0,0,0,0,99,3,13,53,18,0,0,0,0,0,0,0,3,0,34,0,0,0,0,0,TRUE,Cardinals,Sunday,94,77,993001189,0,0,1,11,2019-09-08T00:00:00,2019-09-08T16:25:00,16994,1,11,16994
201910120,2019-09-08T13:00:00,1,2019,1,ATL,MIN,AWAY,19,45,40,U.S. Bank Stadium,Artificial,93,160,15,75.2,8.9,0,0,0,12,0,48,21,30:13:00,43,13,26,15,107,552,13,5,27,117,11,0,74,53,435,5,5,15.1,13.1,114.6,132.5,13,5,40,5,5,159.9,5,3,0,0,74,14,125,3,3,10,51,8,10,0,8,208,69.2,8,0,-5,14,7,7,0,0,46,75,29:47:00,29,16,10,10,78,430,14.1,10,61,275,11.5,8,16,13,155,3,0,15.5,19.3,127.9,224.5,16,13,80,0,0,0,8,8,0,0,0,18,160,0,0,3,3,11,11,0,13,395,79,0,8,8,80,0,-6,-5,-5,16.8,43.7,8,159.9,0,10,8,8,65.9,22.4,14.6,8,5,3,0,0,0,0,0,10,0,0,0,0,0,0,10,74,5,70,0,0,13,10,8,0,0,10,10,0,0,0,0,0,0,0,0,0,0,3,21,5,0,61,24,3,3,0,3,0,0,0,0,0,0,29,0,42,0,0,0,0,0,86,19,10,51,13,3,3,0,0,0,3,0,0,0,21,0,0,0,0,0,TRUE,Falcons,Sunday,80,18,993001176,0,0,2,20,2019-09-08T00:00:00,2019-09-08T13:00:00,16986,2,20,16986
201910119,2019-09-08T13:00:00,1,2019,1,BAL,MIA,AWAY,94,16,69,Hard Rock Stadium,Grass,147,118,16,65.6,-11.2,21,21,10,7,0,64,11,40:07:00,50,16,27,10,117,1028,14.1,13,74,424,14.8,5,42,37,604,15,0,23.2,26.2,141.5,253.2,18,11,101.7,5,5,159.9,11,13,0,0,69,10,64,0,0,3,3,19,11,0,3,90,89.5,0,8,8,0,10,0,0,0,30,85,19:53,19,3,16,3,75,320,11,3,19,34,4.6,0,51,24,286,3,5,14.3,19,75,78.1,16,8,48,0,0,0,3,3,0,0,0,14,102,3,3,8,18,5,10,0,15,515,85.9,8,0,-5,114.2,0,16,8,5,93.2,54.8,3.7,159.9,0,-16,-5,-3,13.9,11.8,13.8,16,13,11,0,0,13,13,0,0,0,0,0,3,3,0,5,46,3,14,5,22,8,5,5,0,0,3,3,0,0,0,0,0,3,3,0,3,0,8,94,0,0,43,13,8,18,14,0,3,0,0,0,0,0,24,0,14,0,0,0,0,0,70,66,3,3,3,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,TRUE,Ravens,Sunday,43,56,993001170,0,0,3,19,2019-09-08T00:00:00,2019-09-08T13:00:00,16985,3,19,16985
201910124,2019-09-08T13:00:00,1,2019,1,BUF,NYJ,AWAY,27,26,33,MetLife Stadium,Artificial,115,160,5,65.6,6.4,0,0,3,14,0,43,94,27:59:00,37,13,18,10,101,592,15.1,5,40,205,13,3,59,38,387,3,5,10.4,16.1,103.8,111.7,16,13,80,3,0,0,3,3,0,0,21,11,88,5,5,3,19,14,13,0,8,208,69.2,10,3,-5,6,0,10,0,0,51,3,32:01:00,27,8,19,5,106,357,8.7,5,34,109,8.2,0,66,45,248,3,0,9.7,14.1,109.2,132.5,27,11,65.9,5,3,80,3,3,0,0,34,13,107,3,3,10,32,14,15,3,11,486,69.4,3,10,8,159.9,0,0,5,8,60.9,32,2.6,159.9,0,0,-3,-5,38.4,37.9,14.2,15,15,13,0,0,5,5,0,0,0,0,0,3,3,0,3,16,0,0,0,0,8,8,8,0,0,3,0,0,5,3,0,0,3,0,0,0,0,3,16,5,34,64,43,10,32,13,0,3,8,0,0,0,0,16,0,0,0,0,0,0,0,58,40,3,19,15,3,5,0,0,3,0,0,0,0,16,0,0,0,0,0,TRUE,Bills,Sunday,61,72,993001180,0,0,4,24,2019-09-08T00:00:00,2019-09-08T13:00:00,16987,4,24,16987
201910105,2019-09-08T13:00:00,1,2019,1,CAR,LAR,HOME,43,48,57,Bank of America Stadium,Grass,147,136,0,78.4,3.8,0,3,10,14,0,42,70,26:44:00,34,13,21,0,102,548,13.8,8,37,203,14.1,8,61,40,345,0,3,14.6,13.8,105.2,111.3,18,13,72.8,0,0,0,8,8,0,0,48,15,74,5,5,8,37,15,10,0,10,309,77.1,8,3,-3,0,13,10,7,0,53,26,33:16:00,35,14,19,3,115,558,12.3,8,51,265,13.3,5,62,37,293,3,3,12,12.8,94.3,109.8,27,14,84.6,0,0,0,10,8,0,0,72,13,69,0,0,3,8,13,13,0,8,230,76.8,3,8,5,159.9,0,3,-2,-3,20,24,7.3,119.9,0,-2,3,5,34.7,19.5,6.4,13,10,10,0,0,8,8,0,0,0,0,0,8,5,0,5,48,5,82,3,0,11,15,10,0,0,8,8,0,0,0,0,0,10,8,0,5,30,0,0,3,42,74,30,3,8,15,0,0,0,0,0,3,0,26,0,42,0,0,0,0,0,61,53,8,37,8,5,5,0,0,0,0,0,26,0,0,0,0,0,0,0,TRUE,Panthers,Sunday,66,64,993001179,0,0,5,32,2019-09-08T00:00:00,2019-09-08T13:00:00,16989,5,32,16989
201910106,2019-09-05T20:20:00,1,2019,1,CHI,GB,HOME,8,16,13,Soldier Field,Grass,102,70,11,75.2,-4.8,3,0,0,0,0,45,91,28:57:00,26,8,16,8,104,406,10,0,24,74,7.9,0,72,42,333,0,3,11.8,12.8,92.4,96.3,24,8,32,5,0,0,3,0,0,0,58,16,171,0,0,13,32,11,14,0,13,545,68.1,3,0,-2,0,7,0,3,0,50,8,31:03:00,21,3,16,5,91,341,9.5,3,35,75,5.4,0,48,29,265,3,0,14.1,14.7,95.9,137.9,19,5,26.7,0,0,0,5,3,0,0,3,16,114,0,0,13,59,18,10,0,14,684,76.1,0,3,3,0,0,-6,13,0,65.4,32,10,80,0,10,-8,0,42.7,35.2,22.9,5,5,3,0,0,0,0,0,0,0,0,0,3,3,0,10,58,0,0,0,0,8,8,8,0,0,3,3,0,0,0,0,0,3,3,0,3,3,0,0,3,0,66,10,13,59,13,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,64,32,13,32,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,TRUE,Bears,Thursday,80,56,993001169,0,0,6,12,2019-09-05T00:00:00,2019-09-05T20:20:00,16983,6,12,16983
201910130,2019-09-08T16:05:00,1,2019,1,CIN,SEA,AWAY,32,34,41,CenturyLink Field,Artificial,94,160,14,71.2,15.2,3,14,0,3,0,56,80,35:50:00,35,3,29,8,112,686,15.6,5,22,54,6.1,0,82,56,632,5,0,12.3,18.1,109.7,167.3,24,15,64,3,0,0,8,0,0,0,72,11,91,8,8,13,37,14,13,0,10,283,70.7,8,3,-3,0,14,0,7,0,38,16,24:10:00,19,10,15,5,78,371,12,8,40,115,7.4,3,32,22,256,5,0,12.8,18.2,111.9,203.2,19,10,53.2,0,0,0,5,5,0,0,13,13,88,3,3,10,56,13,16,0,13,601,75.2,3,8,5,0,0,10,-3,-2,51.2,60,8.9,159.9,0,-6,5,3,114.2,14.2,26.7,13,10,10,0,0,5,5,0,0,0,0,0,8,5,0,10,54,0,0,0,0,10,10,10,0,0,8,8,0,0,0,0,0,0,0,0,0,0,3,34,0,0,45,46,10,56,0,3,3,18,0,0,0,0,18,0,0,0,0,0,0,0,72,34,10,26,15,8,8,13,0,0,0,0,0,0,34,0,0,0,0,0,TRUE,Bengals,Sunday,90,38,993001186,0,0,7,30,2019-09-08T00:00:00,2019-09-08T16:05:00,16992,7,30,16992
201910108,2019-09-08T13:00:00,1,2019,1,CLE,TEN,HOME,21,69,56,FirstEnergy Stadium,Grass,106,83,14,70.4,-8.8,6,0,7,0,0,48,67,30:42:00,30,10,21,5,101,553,14.1,5,32,163,13,3,61,40,390,3,8,10.2,15.7,105.2,95.2,16,3,16,5,0,0,5,5,0,0,29,29,291,0,0,13,66,13,11,0,13,373,74.5,8,0,-5,3,9,10,21,0,46,29,29:18:00,34,15,14,15,90,542,15.6,13,45,197,11.2,3,38,22,345,8,0,14.4,24.6,93.2,204.3,16,5,32,0,0,0,10,8,0,0,106,15,86,0,0,10,51,11,11,3,15,443,73.9,0,8,8,159.9,0,3,0,-2,40,45.7,11.6,119.9,0,-2,0,3,56,26.1,22.9,10,5,3,0,0,5,3,0,0,0,0,0,0,0,0,3,29,10,165,0,0,13,15,10,0,0,13,13,0,0,0,0,0,5,5,0,0,0,8,80,8,106,59,22,10,51,8,0,0,0,0,0,0,0,29,0,51,0,0,0,0,0,74,22,13,66,15,0,0,0,0,3,0,0,0,0,37,0,0,0,0,0,TRUE,Browns,Sunday,69,45,993001173,0,0,8,34,2019-09-08T00:00:00,2019-09-08T13:00:00,16984,8,34,16984
201910109,2019-09-08T16:25:00,1,2019,1,DAL,NYG,HOME,56,27,52,AT&T Stadium,Artificial,138,114,16,70.4,-11.2,7,14,14,0,0,51,29,32:18:00,37,10,29,3,99,790,12.8,13,48,142,7.7,3,51,40,648,10,0,20.3,25.9,124.9,253.2,16,15,95.9,0,0,0,5,5,0,0,0,15,75,0,0,0,0,11,5,0,10,264,65.9,0,5,5,7,0,3,7,0,43,67,27:42:00,40,13,26,3,106,752,11.4,5,27,241,14.2,3,77,53,510,3,0,10.6,15.5,110,150.3,18,5,29.1,8,3,53.2,10,5,0,0,11,13,112,5,5,3,10,5,5,0,10,265,66.4,5,0,-3,159.9,0,13,0,3,18.9,22.9,0,80,0,-8,0,-2,10.7,15.9,5.1,15,13,10,0,0,13,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,10,8,0,0,5,5,0,0,0,0,0,3,3,0,5,11,5,74,0,0,74,19,3,10,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,64,29,0,0,8,0,0,0,0,0,0,0,13,0,45,0,0,0,0,0,TRUE,Cowboys,Sunday,51,78,993001191,0,0,9,23,2019-09-08T00:00:00,2019-09-08T16:25:00,16993,9,23,16993
201910125,2019-09-09T22:20:00,1,2019,1,DEN,LV,AWAY,26,38,40,Oakland Coliseum,Grass,94,83,16,68.8,-4.8,0,0,6,10,0,43,24,27:15:00,29,10,18,8,91,550,15.3,3,37,152,10.5,0,50,34,398,3,0,12.8,19,108.3,164.3,21,15,73.9,0,0,0,10,3,0,0,0,15,70,0,0,8,30,0,5,0,8,232,77.2,0,0,0,7,7,0,10,0,51,72,32:45:00,30,13,18,0,86,571,10.6,8,45,157,8.9,5,42,35,414,3,0,16,18.9,135.3,193.5,22,16,114.2,0,0,0,10,8,0,0,14,14,99,0,0,0,0,13,15,0,8,214,71.5,0,0,0,40,0,-8,-6,-5,11.4,0,8.8,119.9,0,13,10,8,41.7,23.5,0,13,10,8,0,0,3,3,0,0,0,0,0,10,8,0,0,0,0,0,0,0,13,13,13,0,0,8,8,0,0,0,0,0,3,3,0,3,14,5,161,0,0,62,37,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,46,8,30,8,3,0,0,0,0,0,0,14,0,115,0,0,0,0,0,TRUE,Broncos,Monday,54,42,993001198,0,0,10,25,2019-09-09T00:00:00,2019-09-09T22:20:00,16998,10,25,16998
